order_id,account_id,company,status,currency,subtotal,tax,total,created_at
1,27611,"Boone, Gallagher and Scott",confirmed,GBP,2.53,0.51,3.04,2026-03-03T17:27:30.510282Z
2,17412,Miller and Sons,confirmed,USD,0.11,0.01,0.12,2026-03-03T17:27:30.506736Z
3,41190,"Stephens, Wood and Munoz",invoiced,GBP,3673.18,734.64,4407.82,2026-03-03T17:27:32.133069Z
4,40939,Garcia-Foster,paid,USD,9588.0,671.16,10259.16,2026-03-03T17:27:30.480007Z
5,91644,Harmon-Pope,paid,GBP,7191.0,1438.2,8629.2,2026-03-03T17:27:30.514804Z
6,85211,Washington LLC,created,GBP,1.6,0.32,1.92,2026-03-03T17:27:30.537258Z
7,52445,Foster Inc,confirmed,USD,28764.0,2013.48,30777.48,2026-03-03T17:27:30.534291Z
8,39714,Rivers-Martinez,confirmed,GBP,0.32,0.06,0.38,2026-03-03T17:27:30.501509Z
9,70687,"Brooks, Taylor and Delacruz",confirmed,GBP,0.33,0.07,0.4,2026-03-03T17:27:30.498370Z
10,84894,Patterson PLC,created,EUR,41548.0,8309.6,49857.6,2026-03-03T17:27:30.526088Z
11,69294,"Vincent, Harrington and Hayes",created,EUR,0.09,0.02,0.11,2026-03-03T17:27:30.518513Z
12,72202,Sandoval-Estrada,confirmed,GBP,594.21,118.84,713.05,2026-03-03T17:27:30.494253Z
13,43948,Jennings-Sutton,confirmed,EUR,3168.0,633.6,3801.6,2026-03-03T17:27:30.491195Z
14,24002,"Park, Pearson and Bentley",confirmed,EUR,4754.53,950.91,5705.44,2026-03-03T17:27:30.463967Z
15,37391,Boyd Inc,confirmed,GBP,5.31,1.06,6.37,2026-03-03T17:27:30.475882Z
16,57385,Castillo-Butler,created,EUR,1882.92,376.58,2259.5,2026-03-03T17:27:30.539829Z
17,78417,Roman-Horne,invoiced,GBP,3267.0,653.4,3920.4,2026-03-03T17:27:30.484021Z
18,33758,Stanley LLC,paid,EUR,3565.2,713.04,4278.24,2026-03-03T17:27:30.504264Z
